Id,SalePrice
1461,125977.64
1462,151896.97
1463,184050.48
1464,186258.31
1465,187266.45
1466,177178.4
1467,170283.56
1468,169917.28
1469,175673.75
1470,114157.37
1471,198225.61
1472,89535.086
1473,92522.42
1474,149430.48
1475,122999.28
1476,388596.62
1477,257606.67
1478,301360.78
1479,217493.11
1480,509097.12
1481,315712.56
1482,202894.61
1483,158283.62
1484,162847.84
1485,168561.73
1486,195404.6
1487,322024.6
1488,232452.1
1489,202070.39
1490,199003.9
1491,183881.47
1492,100691.1
1493,181714.75
1494,284604.44
1495,294912.4
1496,224602.53
1497,161805.7
1498,156929.3
1499,152766.1
1500,147390.72
1501,173811.56
1502,147635.25
1503,292427.06
1504,229672.17
1505,214528.9
1506,185771.7
1507,238470.23
1508,204492.06
1509,165690.16
1510,149602.45
1511,146984.14
1512,168806.16
1513,145918.58
1514,173889.94
1515,199752.14
1516,165540.05
1517,150539.97
1518,127535.22
1519,222968.39
1520,135285.56
1521,143168.05
1522,170040.81
1523,115516.01
1524,124260.02
1525,121107.46
1526,134009.0
1527,102816.625
1528,134533.88
1529,143581.48
1530,172650.58
1531,113473.27
1532,100723.17
1533,144977.52
1534,122682.87
1535,169392.67
1536,114749.96
1537,72378.12
1538,192501.12
1539,205833.83
1540,106052.55
1541,162369.73
1542,148739.12
1543,232271.75
1544,88166.42
1545,102388.21
1546,122319.164
1547,134842.0
1548,129652.04
1549,110233.77
1550,138577.19
1551,108163.45
1552,126751.836
1553,150267.7
1554,106016.7
1555,174967.38
1556,85689.33
1557,115493.5
1558,94197.25
1559,99278.59
1560,137302.3
1561,143119.22
1562,129198.48
1563,118640.06
1564,148915.39
1565,153445.33
1566,221275.17
1567,77258.59
1568,224400.88
1569,127608.164
1570,130093.945
1571,133486.73
1572,146608.95
1573,250984.23
1574,88476.086
1575,198320.75
1576,215749.3
1577,205133.6
1578,141817.25
1579,143342.88
1580,199855.36
1581,144392.7
1582,130364.76
1583,348667.9
1584,236306.48
1585,140696.31
1586,67055.02
1587,93920.24
1588,149603.61
1589,113795.86
1590,133355.86
1591,102463.04
1592,118280.68
1593,122192.72
1594,134301.92
1595,99178.35
1596,230717.06
1597,173552.02
1598,189786.36
1599,186322.47
1600,180272.56
1601,61967.64
1602,115047.08
1603,93496.43
1604,274681.0
1605,250326.36
1606,173694.14
1607,162479.6
1608,217234.38
1609,189550.39
1610,164808.53
1611,147725.36
1612,157227.08
1613,158443.33
1614,119153.625
1615,81854.414
1616,71753.52
1617,89633.31
1618,132279.08
1619,130788.52
1620,146060.2
1621,142683.55
1622,139356.27
1623,306013.97
1624,215993.77
1625,130255.664
1626,174653.8
1627,190480.11
1628,275831.0
1629,178451.6
1630,356095.1
1631,218708.23
1632,250803.39
1633,166852.4
1634,185559.53
1635,183456.47
1636,156509.45
1637,175945.81
1638,210943.58
1639,181510.2
1640,272240.4
1641,184791.66
1642,215944.48
1643,214089.33
1644,223246.83
1645,188497.23
1646,158119.94
1647,164179.17
1648,133584.89
1649,140431.78
1650,119501.1
1651,126723.586
1652,89878.32
1653,93250.664
1654,153137.28
1655,145939.22
1656,149383.73
1657,153378.56
1658,149299.66
1659,134660.88
1660,149304.45
1661,498984.88
1662,403819.66
1663,399014.94
1664,382456.06
1665,326937.62
1666,321769.3
1667,359843.84
1668,341221.5
1669,291842.47
1670,349758.28
1671,270234.28
1672,524884.8
1673,305798.78
1674,251825.8
1675,183230.83
1676,190641.78
1677,222699.67
1678,486289.62
1679,404632.25
1680,325750.53
1681,261429.25
1682,290623.8
1683,183080.44
1684,169053.1
1685,174497.45
1686,166656.28
1687,165736.67
1688,187729.34
1689,188753.47
1690,187986.1
1691,171751.36
1692,254044.22
1693,166843.0
1694,186715.9
1695,169916.64
1696,273114.03
1697,171711.3
1698,394214.28
1699,316578.72
