,0
0,195987.45279999997
1,163624.7852000001
2,215454.68199999994
3,171932.8010000001
4,284449.3972000002
5,149416.32349999997
6,313858.9876000001
7,241269.1419999999
8,198297.64890000012
9,118082.00819999992
10,136181.8057
11,360578.8920999999
12,128684.74359999996
13,222138.82239999992
14,147006.0443
15,164195.09220000004
16,138942.26679999995
17,108836.45659999987
18,148542.77979999996
19,140393.55760000006
20,308683.4962000001
21,147302.8914
22,252462.4051999999
23,140774.1856
24,134846.7882
25,267977.75750000007
26,128094.52729999993
27,314784.93629999994
28,168736.36720000007
29,70632.5145
30,86777.30999999998
31,139880.5832
32,210695.6765999999
33,172406.42680000004
34,281938.9351
35,302091.2971000004
36,139507.59320000003
37,149051.27400000006
38,132491.08999999997
39,88404.23809999999
40,153432.09300000002
41,153753.02430000005
42,135902.87199999994
43,125405.95270000001
44,134540.71160000004
45,299992.14489999996
46,254194.07060000004
47,257471.83370000002
48,128394.9074
49,130213.59619999999
50,176102.22470000002
51,118224.46699999998
52,120793.07839999995
53,349592.5952000001
54,133692.5905
55,170899.29400000005
56,208089.34399999992
57,195502.66299999997
58,433753.72119999997
59,123079.53649999997
60,158244.58420000004
61,105302.15579999998
62,215240.31659999996
63,170790.48860000016
64,243033.32089999996
65,307292.2435000001
66,262458.8634
67,208301.87960000001
68,82559.45199999998
69,258961.33950000012
70,268968.7503000002
71,117488.88209999997
72,190492.6237000001
73,139018.4136
74,126794.03919999998
75,93120.2442
76,116203.73780000005
77,121869.38159999996
78,128522.7053999999
79,116862.77739999998
80,173037.65930000003
81,176193.97990000003
82,262998.7461000001
83,131585.04400000005
84,170110.3314
85,283922.9407000002
86,174056.4884999999
87,132787.91060000006
88,115830.2522
89,116729.55699999999
90,96153.43189999994
91,135315.79670000012
92,121184.96249999998
93,188218.3372000001
94,198712.10369999995
95,171652.31870000006
96,235574.25860000015
97,120977.62500000001
98,101517.53519999998
99,128555.11699999994
100,188987.12470000007
101,179725.56309999994
102,123569.23919999992
103,203128.2965999999
104,214643.534
105,252031.63580000005
106,98831.55969999997
107,111086.22919999999
108,128129.7944
109,194164.08920000002
110,149522.01679999998
111,167467.09709999993
112,270664.1504000001
113,191633.8664
114,162136.6299
115,171559.5334000001
116,133674.0743
117,139968.3882
118,273137.4402000001
119,169470.44860000015
120,136561.63899999997
121,97518.62049999998
122,135726.8021
123,162472.6129
124,174578.54719999994
125,103896.851
126,128120.36119999997
127,105316.22069999995
128,140154.3637
129,141747.05009999996
130,227881.5989
131,203191.98030000005
132,148161.47030000007
133,225323.50950000007
134,173355.22600000002
135,178983.98930000007
136,148732.1389
137,241941.1671999999
138,255186.13950000002
139,197074.23129999993
140,111197.48390000005
141,247508.65560000017
142,146977.12690000006
143,221257.78100000005
144,164754.77120000002
145,176268.39579999997
146,109542.18039999994
147,222279.03269999998
148,154078.16119999997
149,110511.75409999996
150,136188.5466
151,315043.26400000014
152,189370.49730000002
153,152492.32710000005
154,128268.237
155,99536.7186
156,113553.5204
157,263364.8801000001
158,231149.90720000007
159,264187.1292999999
160,163569.05610000002
161,400115.5608999997
162,236927.14750000005
163,104500.97440000004
164,145963.2624
165,121147.3537999999
166,162160.58299999996
167,328015.0646000001
168,191792.25820000004
169,248379.0904999999
170,139225.15310000003
171,179684.51160000003
172,220057.68609999993
173,157260.17400000003
174,190783.2176
175,197378.9572000001
176,210387.19819999996
177,148005.9946
178,405779.20070000016
179,112721.62959999997
180,171072.3715000001
181,182822.55740000014
182,124386.93779999996
183,241518.50760000013
184,119191.33829999999
185,439316.98520000017
186,174730.08549999993
187,130391.16529999992
188,155030.4916000002
189,277521.66290000005
190,289372.5305000001
191,169008.75559999995
192,204155.18179999987
193,155277.4396999999
194,124509.67430000001
195,157200.03199999998
196,241913.40020000012
197,341632.6754999999
198,130568.37029999998
199,302288.5143
200,136146.88270000002
201,162232.5704000001
202,118962.92709999997
203,141782.29149999985
204,116923.13919999995
205,203481.6231
206,141521.5084
207,134845.65390000003
208,247507.32759999993
209,141905.6744
210,109392.49169999996
211,169495.5462
212,217408.42529999997
213,144529.92259999993
214,149183.55319999994
215,144252.2841
216,206885.19430000006
217,96077.04479999999
218,211746.79220000003
219,175708.65460000004
220,223403.1876999999
221,198018.3216000001
222,171132.97830000002
223,119724.71840000006
224,402929.94089999987
225,116273.67359999994
226,264126.2196999999
227,107357.04349999997
228,127348.17239999997
229,201609.0690000001
230,137420.3884
231,345303.29799999995
232,100042.94949999996
233,125253.83229999998
234,200472.0011
235,91442.35129999995
236,203083.25859999988
237,214017.39119999998
238,267247.5856000001
239,130975.27770000002
240,287062.2879000001
241,108072.63739999995
242,124950.51499999996
243,119396.16929999998
244,225531.27590000007
245,240405.79559999987
246,141211.12899999996
247,149068.59810000003
248,190925.3047999999
249,204568.4898
250,95349.9923
251,280785.5360000003
252,180052.79689999993
253,153378.31010000006
254,143131.69040000002
255,237105.91159999993
256,190618.37939999998
257,244609.15380000015
258,216560.47710000005
259,103561.59140000006
260,168908.1347
261,329025.0588999999
262,137645.82619999992
263,126587.57299999995
264,109855.26249999998
265,175359.24500000002
266,184999.2273
267,153554.82339999996
268,119996.9843
269,146729.31039999996
270,265564.79600000015
271,198237.04169999997
272,279803.2043000003
273,158584.79200000002
274,126338.211
275,177926.77169999998
276,221383.49969999975
277,114394.315
278,365596.54059999995
279,231172.0066999999
280,216324.10990000013
281,174653.5662000001
282,197157.27299999993
283,258768.82929999995
284,174376.672
285,160334.47990000012
286,174218.6352
287,105225.6591
288,123667.0562
289,135023.74090000003
290,251257.60860000015
291,141093.1531
292,145927.46999999997
293,227112.61080000002
294,175053.68300000005
295,141946.59879999992
296,151700.8998
297,226463.73290000003
298,170278.2864
299,130245.81050000002
300,146762.57780000003
301,295853.1402000001
302,225721.1693999999
303,132329.64179999995
304,270630.3104000002
305,347596.8258000001
306,229705.88299999994
307,122909.47439999996
308,113954.44430000002
309,361840.57160000043
310,177962.2633000001
311,123259.8049
312,122727.18
313,256489.28379999998
314,168157.9935
315,174509.03899999996
316,234085.07790000006
317,265664.38030000014
318,268735.49610000005
319,204435.10099999994
320,391682.52450000006
321,311847.81779999996
322,267165.09770000004
323,134989.93120000002
324,233437.9811000001
325,110348.41559999996
326,310668.73820000014
327,153131.0763
328,179904.51500000016
329,101227.41569999997
330,134208.35999999996
331,134796.82489999998
332,306414.58919999993
333,203827.50909999994
334,187211.4812
335,181005.3244
336,357241.45030000043
337,226215.90269999995
338,191379.5076000001
339,144644.95990000002
340,228388.06390000015
341,87806.29950000005
342,91390.72819999998
343,292307.87959999987
344,106833.09409999994
345,136199.08329999994
346,131903.1717
347,181002.12500000003
348,172086.71329999983
349,429005.26679999963
350,313026.62879999995
351,205669.58080000003
352,107498.13769999999
353,116221.65440000001
354,150155.80970000007
355,162532.47840000005
356,155436.28069999997
357,146403.259
358,132622.89280000006
359,256203.1378000001
360,136352.62819999995
361,146118.30560000005
362,209614.6089999999
363,98885.71190000001
364,183819.03730000005
365,129783.41189999998
366,171105.36760000006
367,151989.03849999997
368,138269.6820000001
369,149597.96529999998
370,181127.1242
371,151583.9223000001
372,122558.30969999998
373,126673.04129999994
374,211479.89429999999
375,82993.73279999997
376,129186.81449999998
377,312929.5542000001
378,352137.9941000002
379,187822.9043000001
380,142110.39130000002
381,187089.88190000004
382,216826.82709999994
383,105356.2841
384,204141.24440000003
385,200852.08700000006
386,99248.42179999994
387,138571.4148
388,205787.21479999993
389,390413.4882999999
390,127250.48069999997
391,201810.56629999992
392,103652.74400000004
393,87763.97440000004
394,112089.41509999993
395,139356.78770000004
396,131056.10039999997
397,155922.18899999998
398,104859.49539999999
399,192341.48840000003
400,208955.82830000008
401,176073.9595999999
402,108374.12690000003
403,249812.42179999995
404,173461.15030000004
405,180435.54910000006
406,136077.97740000003
407,145220.60179999997
408,249730.0369
409,281510.2926000001
410,125717.91470000007
411,141697.78710000002
412,217776.7292999999
413,114274.71649999995
414,242676.52239999996
415,194568.87470000007
416,158023.34729999994
417,189545.01380000013
418,114045.71819999999
419,135352.5364
420,207760.05320000005
421,187209.45200000008
422,124151.81590000002
423,332186.41370000003
424,138861.97269999998
425,147153.09809999997
426,247401.10270000008
427,117570.81750000003
428,192518.30669999996
429,179844.04580000005
430,96548.1895
431,109347.21339999995
432,135226.54839999994
433,178769.79089999993
434,80266.7639
435,191808.73340000008
436,115403.38559999998
437,112049.62519999994
438,112372.20939999999
439,124632.36429999997
440,416626.77849999967
441,126243.50209999995
442,141133.11469999998
443,183214.49789999984
444,220738.29710000005
445,167508.7324000001
446,184642.20090000008
447,211406.80010000005
448,119246.65569999999
449,92712.0218
450,110404.20619999999
451,229157.77229999978
452,195847.01
453,232748.4571999999
454,169795.7157
455,163068.10589999997
456,118815.9334
457,187176.89729999995
458,201368.91110000006
459,112360.48099999997
460,239694.1066
461,155166.55710000003
462,126272.50570000001
463,151563.10980000003
464,126098.2466
465,194999.88130000007
466,162893.17789999998
467,155149.30289999995
468,258662.3716
469,187209.39990000002
470,226656.52090000006
471,216206.45980000016
472,143259.6413999998
473,361333.14239999995
474,287735.93570000026
475,132580.3677
476,184826.13299999997
477,404193.0711999999
478,317023.55160000006
479,126378.15930000003
480,347496.97719999996
481,335058.2321000001
482,185338.03530000016
483,166547.78480000014
484,131973.65759999992
485,131169.0041
486,142436.34050000002
487,167435.00029999999
488,164357.42470000003
489,84352.04670000002
490,116678.75529999984
491,148664.96959999998
492,169659.2194000001
493,144579.6198
494,101359.02210000003
495,76020.51650000003
496,343961.58589999995
497,199746.16820000007
498,127356.64410000002
499,121466.22270000001
500,112867.1181999999
501,211666.99390000003
502,146815.25150000004
503,246623.7975999999
504,131062.05769999998
505,135644.03859999994
506,230744.01980000004
507,172334.96219999998
508,156951.07239999998
509,135605.97289999996
510,146259.10669999997
511,199451.39680000005
512,127335.44609999997
513,138489.05600000004
514,105473.10339999996
515,387771.6131
516,178280.67870000008
517,264428.70430000004
518,197204.292
519,241050.78439999997
520,85852.23419999996
521,147233.3567
522,159301.1234
523,469053.4002
524,266494.4149
525,182530.15240000005
526,124488.78600000002
527,409545.6334999997
528,75413.85059999999
529,194451.80160000012
530,181202.63689999998
531,127292.5134
532,108266.55440000005
533,61061.48540000005
534,212876.3109
535,123344.8015
536,196449.49040000004
537,119801.81970000001
538,141208.31240000008
539,280862.03280000004
540,343130.49300000013
541,275977.40930000035
542,231691.80870000002
543,151858.16199999995
544,173739.96480000005
545,255392.7781000001
546,161154.59970000002
547,129823.84049999999
548,123400.8049
549,229777.31429999997
550,138380.3096
551,119467.0788
552,268318.22659999994
553,102505.65499999994
554,240358.42439999987
555,112334.09919999998
556,137046.25550000006
557,115582.39469999998
558,172117.47199999992
559,198854.25670000006
560,166044.92709999997
561,170037.74380000003
562,114820.71220000001
563,166772.8722
564,258964.18560000017
565,126713.07069999992
566,360584.91590000014
567,223806.1914999999
568,316282.3911
569,137980.97189999995
570,137579.5702999999
571,122662.93040000001
572,206696.33429999993
573,169613.86610000007
574,113453.49859999998
575,119876.89379999995
576,151708.71040000004
577,152378.58070000005
578,163866.91420000014
579,141316.26999999993
580,177101.4187
581,315873.7816999999
582,117378.19149999994
583,406235.3374
584,133366.20139999996
585,353591.143
586,116632.1092
587,136076.62829999995
588,171275.32030000002
589,113554.6283
590,187007.923
591,389200.13239999977
592,135790.93779999993
593,140581.66279999993
594,120016.7599
595,327046.2802
596,116328.95149999998
597,187108.11709999994
598,176821.84600000002
599,159092.93920000002
600,251448.08050000013
601,126692.56619999996
602,235457.50540000002
603,153113.69870000015
604,226220.7331
605,216775.45220000015
606,145022.34159999996
607,157080.24109999993
608,296213.4324000001
609,125619.12839999999
610,327492.5663
611,145588.61779999995
612,255635.5012000002
613,127221.1158
614,80657.38150000002
615,139194.52089999997
616,179242.111
617,115017.99360000002
618,320563.3876999997
619,297429.79360000015
620,93679.31660000006
621,210619.2629000001
622,137745.73729999998
623,173779.42450000014
624,170576.43290000007
625,133991.64190000002
626,139010.25489999997
627,156087.53639999998
628,169280.40450000003
629,156462.5316
630,133391.6073999999
631,230908.7409999998
632,202564.4936999999
633,134365.40999999997
634,142933.14449999997
635,159258.40750000003
636,70263.92120000001
637,124692.62980000002
638,104785.27459999999
639,277051.1279
640,272754.4791000002
641,233602.2272
642,345373.89030000014
643,159795.70320000005
