company,rank,revenue,state
Procter &amp; Gamble,31,84167,OH
Marathon Petroleum,25,93991,OH
Kroger,24,98375,OH
Cardinal Health,22,101093,OH
Nationwide Mutual Insurance Co.,91,34542,OH
The Goodyear Tire &amp; Rubber Company,147,19540,OH
"Macy's, Inc.",107,27931,OH
FirstEnergy Corp.,195,14950,OH
"American Electric Power Company, Inc.",186,15357,OH
The Progressive Corporation,157,18171,OH
Parker-Hannifin Corporation,217,13016,OH
The Sherwin-Williams Company,278,10186,OH
"L Brands, Inc.",263,10773,OH
TravelCenters of America LLC,339,7963,OH
Dana Holding Corporation,385,6769,OH
"Owens-Illinois, Inc.",372,6967,OH
Fifth Third Bancorp,361,7200,OH
Cliffs Natural Resources Inc.,445,5691,OH
The J.M. Smucker Company,435,5898,OH
"Omnicare, Inc.",415,6277,OH
"American Financial Group, Inc.",487,5092,OH
Owens Corning,475,5295,OH
"Big Lots, Inc.",473,5302,OH
AK Steel Holding Corporation,455,5570,OH
"The Andersons, Inc.",453,5605,OH
Cincinnati Financial Corporation,543,4531,OH
KeyCorp,541,4567,OH
Western &amp; Southern Mutual Holding Company,511,4812,OH
Momentive Specialty Chemicals Inc.,505,4890,OH
RPM International Inc.,598,4079,OH
Abercrombie &amp; Fitch Co.,594,4117,OH
Cintas Corporation,572,4317,OH
Aleris Corporation,569,4333,OH
The Timken Company,568,4341,OH
Greif,566,4353,OH
PolyOne Corporation,618,3827,OH
Cooper Tire &amp; Rubber Company,669,3439,OH
Health Care REIT,746,2899,OH
NewPage Holdings Inc.,718,3054,OH
"Hyster-Yale Materials Handling, Inc.",794,2666,OH
Medical Mutual of Ohio,784,2692,OH
Teradata Corporation,783,2692,OH
The Scotts Miracle-Gro Company,768,2817,OH
"Lincoln Electric Holdings, Inc.",758,2853,OH
"Diebold, Incorporated",757,2858,OH
Huntington Bancshares Incorporated,756,2859,OH
"Worthington Industries, Inc.",807,2612,OH
"Applied Industrial Technologies, Inc.",852,2462,OH
The Wendy's Company,843,2487,OH
DSW Inc.,872,2369,OH
Mettler-Toledo International Inc.,866,2379,OH
"Express, Inc.",913,2219,OH
"A. Schulman, Inc.",922,2163,OH
Convergys Corporation,958,2046,OH
"Vantiv, Inc.",942,2108,OH
TransDigm Group Incorporated,997,1924,OH
