company,rank,revenue,state
The Sherwin-Williams Company,316,8005.3,OH
KeyCorp,321,7873.0,OH
Fifth Third Bancorp,307,8494.0,OH
"Owens-Illinois, Inc.",314,8134.1,OH
AK Steel Holding Corporation,351,7003.0,OH
NCR Corporation,391,6193.0,OH
"Aleris International, Inc.",376,6528.5,OH
TravelCenters of America LLC,395,6166.2,OH
Convergys Corporation,703,2844.3,OH
PolyOne Corporation,743,2642.7,OH
The E.W. Scripps Company,768,2518.5,OH
"Wendy's International, Inc.",781,2469.9,OH
"The Andersons, Inc.",795,2379.1,OH
"Bob Evans Farms, Inc.",992,1654.5,OH
American Greetings Corporation,957,1759.4,OH
A. Schulman Inc.,944,1787.1,OH
Mettler-Toledo International Inc.,941,1793.7,OH
"Jo-Ann Stores, Inc.",922,1878.8,OH
"NACCO Industries, Inc.",591,3602.7,OH
Cintas Corp.,581,3706.9,OH
Abercrombie & Fitch Co.,578,3749.8,OH
Cincinnati Financial Corporation,530,4259.3,OH
"American Financial Group, Inc.",515,4404.7,OH
The Lubrizol Corporation,505,4499.0,OH
"American Electric Power Company, Inc.",196,13380.0,OH
The Progressive Corporation,175,14686.8,OH
Goodyear Tire & Rubber Company,119,20538.0,OH
Nationwide Mutual Insurance Co.,108,22962.0,OH
"Applied Industrial Technologies, Inc.",895,2014.1,OH
NewPage Holding Corporation,845,2168.0,OH
The J.M. Smucker Company,852,2148.0,OH
Ferro Corporation,836,2204.8,OH
"Lincoln Electric Holdings, Inc.",820,2280.8,OH
Cleveland-Cliffs Inc.,822,2275.2,OH
Medical Mutual of Ohio,807,2334.5,OH
Scotts Miracle-Gro Co.,696,2871.8,OH
"Thor Industries, Inc.",698,2856.3,OH
Cooper Tire & Rubber Company,674,2994.9,OH
Worthington Industries Inc.,679,2971.8,OH
"Retail Ventures, Inc.",667,3044.6,OH
"RPM International, Inc.",619,3338.8,OH
Greif Incorporated,621,3322.3,OH
Huntington Bancshares Incorporated,610,3419.6,OH
"Chiquita Brands International, Inc.",491,4662.8,OH
"Big Lots, Inc.",493,4656.3,OH
Western & Southern Mutual Holding Company,480,4810.7,OH
The Timken Company,457,5236.0,OH
Owens Corning,431,5604.0,OH
"Hexion Specialty Chemicals, Inc.",420,5810.0,OH
Dana Holding Corporation,283,9216.0,OH
"Limited Brands, Inc.",257,10134.2,OH
Parker-Hannifin Corporation,247,10718.1,OH
National City Corporation,226,11791.3,OH
Eaton Corporation,207,13033.0,OH
FirstEnergy Corp.,209,12802.0,OH
"Macy's, Inc.",91,26340.0,OH
"Cardinal Health, Inc.",19,88363.9,OH
The Procter & Gamble Company,23,76476.0,OH
The Kroger Company,26,70234.7,OH
